iana_id,name,link,email,form,api,notes,found,as_of
2,"Network Solutions, LLC",http://www.networksolutions.com,,https://www.newfold.com/abuse,,,TRUE,2025-07-22
9,"Register.com - Network Solutions, LLC",http://www.register.com,,https://www.newfold.com/abuse,,,TRUE,2025-07-22
13,Netregistry Wholesale Pty Ltd,https://webcentral.au,privacy@worldhost.group,,,,TRUE,2025-07-22
14,ORANGE,http://cloud.orange-business.com/noms-de-domaine,,,,Unable to locate,FALSE,2025-07-23
15,"COREhub, S.R.L.",http://corehub.net,abuse@corehub.net,,,,TRUE,2025-07-22
30,NameSecure L.L.C.,http://www.namesecure.com,,https://www.newfold.com/abuse,,,TRUE,2025-07-22
48,"eNom, LLC",http://www.enom.com,,https://cp.enom.com//help/abusepolicy.aspx,,,TRUE,2025-07-23
49,"GMO Internet Group, Inc. d/b/a Onamae.com",http://www.gmo.jp,,https://www.onamae.com/abuse/,,,TRUE,2025-07-22
52,Hostopia Canada Corp,http://www.aplus.net,abuse@aplus.net,,,,TRUE,2025-07-22
57,"Advanced Internet Technologies, Inc. (AIT)",http://www.ait.com,,,,Unable to locate,FALSE,2025-07-22
64,"Domain Registration Services, Inc. dba dotEarth.com",http://www.dotearth.com,abuse@dotEarth.com,,,,TRUE,2025-07-22
65,"DomainPeople, Inc.",http://www.domainpeople.com,abuse@domainpeople.com,,,,TRUE,2025-07-22
66,"Enameco, LLC",http://www.enameco.com,,https://www.newfold.com/abuse,,,TRUE,2025-07-22
68,NordNet SA,http://www.nordnet.net,abuse-registrar@nordnet.net,,,,TRUE,2025-07-23
69,Tucows Domains Inc.,http://www.tucows.com,,https://tucowsdomains.com/report-abuse/#report_forms,,,TRUE,2025-07-22
73,Abion AB,https://abion.com/,abuse@abion.com,,,,TRUE,2025-07-22
74,Scaleway SAS,http://www.bookmyname.com,abuse_2025@bookmyname.com,,,They add your IP address as a plus alias for the address (ie: abuse_2025+127.0.0.1@bookmyname.com).,TRUE,2025-07-23
76,Nominalia Internet SL,http://www.nominalia.com,abuse@nominalia.com,https://www.nominalia.com/abuse/index.html,,,TRUE,2025-07-22
78,"PSI-Japan, Inc.",http://psi.jp,report.abuse@psi-japan.co.jp,,,,TRUE,2025-07-23
79,Easyspace Limited,http://www.easyspace.com,abuse@easyspace.com,,,,TRUE,2025-07-22
81,Gandi SAS,http://www.gandi.net,abuse@gandi.net,https://help.gandi.net/en/abuse,,,TRUE,2025-07-22
82,"OnlineNIC, Inc.",http://www.onlinenic.com,abuse@onlinenic.com,,,,TRUE,2025-07-22
83,IONOS SE,http://www.ionos.com,abuse@ionos.com,,,,TRUE,2025-07-22
84,UK-2 Limited,http://uk2group.com,,,,Unable to locate,FALSE,2025-07-23
85,EPAG Domainservices GmbH,http://www.epag.de,,,,Unable to locate,FALSE,2025-07-22
86,DomainSpot LLC,http://domainspot.com,,,,Unable to locate,FALSE,2025-07-22
87,"HANGANG Systems, Inc. dba Doregi.com",http://www.doregi.com,abuse@doregi.com,,,,TRUE,2025-07-22
88,Namebay SAM,http://www.namebay.com,https://www.namebay.com/abus/,,,,TRUE,2025-07-22
91,"007Names, Inc.",http://www.007names.com,,https://www.007names.com/support/abuse-report.xhtml,,,TRUE,2025-07-23
93,"GKG.NET, INC.",http://www.gkg.net,abuse@gkg.net,,,,TRUE,2025-07-22
99,"pair Networks, Inc. d/b/a pair Domains",https://www.pairdomains.com,abuse@pairdomains.com,,,,TRUE,2025-07-22
100,Whois Corp.,https://www.whois.co.kr,,,,Unable to locate,FALSE,2025-07-22
106,"Ascio Technologies, Inc. Danmark - Filial af Ascio technologies, Inc. USA",http://ascio.com,,,,Unable to locate,FALSE,2025-07-22
111,Secura GmbH,http://www.domainregistry.de,abuse@domainregistry.de,,,,TRUE,2025-07-22
112,"Webhero, Inc.",http://webhero.com,,,,Unable to locate,FALSE,2025-07-23
113,CSL Computer Service Langenbach GmbH d/b/a joker.com,http://www.joker.com,abuse@joker.com,https://joker.com/?mode=support&support_type=spam,,,TRUE,2025-07-22
120,Xin Net Technology Corporation,http://www.xinnet.com,,https://www.xinnet.com/report/report.html,,,TRUE,2025-07-22
123,"The Registry at Info Avenue, LLC d/b/a Spirit Communications",http://www.spiritdomains.com,,https://www.spiritdomains.com/support/contact-us.php,,,TRUE,2025-07-22
128,DomainRegistry.com LLC,http://www.domainregistry.com,abuse@domainregistry.com,,,,TRUE,2025-07-22
130,"Netpia.com, Inc.",http://www.ibi.net,reportabuse@ibi@ibi.net,,,,TRUE,2025-07-22
131,Total Web Solutions Limited,https://www.totalwebsolutions.com,,,,Unable to locate,FALSE,2025-07-22
134,BB-Online UK Limited,http://www.nominate.com,,,,Unable to locate,FALSE,2025-07-23
140,"Acens Technologies, S.L.U.",http://www.acens.com,,https://www.acens.com/abuse/,,,TRUE,2025-07-22
141,Cronon GmbH,http://www.cronon.net,,,,Unable to locate,FALSE,2025-07-22
143,"Omnis Network, LLC",http://www.omnis.com,abuse@omnis.com,https://www.omnis.com/contact-us/,,,TRUE,2025-07-22
144,"Alldomains, LLC",http://www.alldomains.com,,https://www.newfold.com/abuse,,,TRUE,2025-07-22
146,"GoDaddy.com, LLC",http://www.godaddy.com,,https://supportcenter.godaddy.com/abusereport/create-new-claim?plid=1,,,TRUE,2025-07-22
151,InterNetX GmbH,https://www.internetx.com,,,,Unable to locate,FALSE,2025-07-22
168,Register SpA,http://www.register.it,abuse@register.it,https://www.register.it/abuse/,,,TRUE,2025-07-22
186,Namescout Ltd,http://www.namescout.com,,https://www.rebel.com/,,,TRUE,2025-07-22
226,Deutsche Telekom AG,http://www.registrar.telekom.de,abuse@telekom.de,,,,TRUE,2025-07-22
228,Moniker Online Services LLC,http://www.moniker.com,abuse@moniker.com,,,,TRUE,2025-07-22
244,"Gabia, Inc.",http://www.gabia.com,,,,Unable to locate,FALSE,2025-07-22
249,Mps Infotecnics Limited,http://www.signdomains.com,"abuse@signdomains.com,",,,,TRUE,2025-07-23
269,Key-Systems GmbH,http://www.key-systems.net,abuse@key-systems.net,,,,TRUE,2025-07-22
270,"Address Creation, LLC",http://www.addresscreation.com,,https://www.newfold.com/abuse,,,TRUE,2025-07-22
277,"Interlink Co., Ltd.",http://www.gonbei.jp,abuse-contact@gonbei.jp,,,,TRUE,2025-07-23
291,"DNC Holdings, Inc.",http://www.directnic.com,abuse@directnic.com,,,,TRUE,2025-07-23
292,MarkMonitor Inc.,http://www.markmonitor.com,abusecomplaints@markmonitor.com,,,,TRUE,2025-07-22
299,"CSC Corporate Domains, Inc.",https://www.cscdbs.com/,,,,Unable to locate,FALSE,2025-07-22
303,PDR Ltd. d/b/a PublicDomainRegistry.com,http://publicdomainregistry.com,abuse-contact@publicdomainregistry.com,https://publicdomainregistry.com/process-for-handling-abuse/,,,TRUE,2025-07-22
320,TLDS L.L.C. d/b/a SRSPlus,http://www.srsplus.com,,https://www.newfold.com/abuse,,,TRUE,2025-07-22
353,Bombora Technologies Pty Ltd,http://bomboraregistrar.com,legal@bomboraregistrar.com,,,,TRUE,2025-07-22
360,"Talal Abu Ghazaleh Intellectual Property ""AGIP"" S.A.L. (offshore)",http://www.tagidomains.com,abuse@tag-domains.com,,,,TRUE,2025-07-22
379,"Arsys Internet, S.L. dba NICLINE.COM",https://www.arsys.es,abuse@nicline.com,,,,TRUE,2025-07-22
380,Tuonome.it Srl d/b/a APIsrs.com,http://www.tuonome.com,abuse@tuonome.com,,,,TRUE,2025-07-22
381,Domreg Ltd,http://www.libris.com,abuse@registrar.libris.com,,,,TRUE,2025-07-22
401,"Misk.com, Inc.",http://www.misk.com,abuse@misk.com,,,,TRUE,2025-07-22
