tld,link,name,email,form,api,notes,found,as_of
.mango,nic.mango,.MANGO Registry,mangogtld@ubilibet.com,,,,TRUE,2025-07-17
.nowtv,www.nic.nowtv,.nowtv,,,,Unable to locate,FALSE,2025-07-17
.pccw,www.nic.pccw,.pccw,,,,Unable to locate,FALSE,2025-07-17
.richardli,www.nic.richardli,.richardli,,,,Unable to locate,FALSE,2025-07-17
.top,www.nic.top/en,.TOP Registry,abuse@nic.top,"(1) Chinese version：https://www.nic.top/cn/Complaintsnew.asp
(2) English version：https://www.nic.top/en/Complaintsnew.asp",,,TRUE,2025-07-17
.gmx,http://www.gmx.de,1&1 Mail & Media GmbH,,,,Unable to locate,FALSE,2025-07-17
.aarp,http://nic.aarp/,AARP,,https://domainabuse.registry.godaddy/s/,,,TRUE,2025-07-17
.abb,http://abb.com,ABB,ngtld-abuse@cscinfo.com,,,,TRUE,2025-07-17
.abbott,http://www.nic.abbott,"Abbott Laboratories, Inc.",Abbottgtld@Abbott.com,,,,TRUE,2025-07-17
.abbvie,nic.abbvie,AbbVie Inc.,gtldabuse@abbvie.com,,,,TRUE,2025-07-17
.able,http://nic.able/,Able Inc.,tld-abuse@nic.able,,,,TRUE,2025-07-17
xn--mgbca7dzdo,http://adsic.abudhabi.ae,Abu Dhabi Systems and Information Centre,,,,Unable to locate,FALSE,2025-07-17
.kyoto,nic.kyoto,Academic Institution: Kyoto Jyoho Gakuen,abuse@nic.kyoto,,,,TRUE,2025-07-17
.accenture,http://www.accenture.com,Accenture plc,,,,Unable to locate,FALSE,2025-07-17
.leclerc,http://www.nic.leclerc,ACDLec Association des Centres Distributeurs E. Leclerc,abuse@e-leclerc.com,,,,TRUE,2025-07-17
.aco,Fax: http://www.aco.com,ACO Severin Ahlmann GmbH & Co. KG,abuse@nic.aco,,,,TRUE,2025-07-17
.aetna,http://www.aetna.com,Aetna Life Insurance Company,gTLDAbuse@aetna.com,,,,TRUE,2025-07-17
.airbus,http://nic.airbus,Airbus,ngtld-abuse@cscinfo.com,,,,TRUE,2025-07-17
.taobao,http://www.alibabagroup.com/en/global/home,Alibaba Group Holding Limited,ngtld-abuse@cscinfo.com,,,,TRUE,2025-07-17
.tmall,http://www.alibabagroup.com/en/global/home,Alibaba Group Holding Limited,ngtld-abuse@cscinfo.com,,,,TRUE,2025-07-17
.alibaba,http://www.alibabagroup.com/en/global/home,Alibaba Group Holding Limited,ngtld-abuse@cscinfo.com,,,,TRUE,2025-07-17
.alipay,http://www.alibabagroup.com/en/global/home,Alibaba Group Holding Limited,ngtld-abuse@cscinfo.com,,,,TRUE,2025-07-17
.allfinanz,http://www.allfinanz-registry.de,Allfinanz Deutsche Vermögensberatung Aktiengesellschaft,bettinger@bettinger.de,,,,TRUE,2025-07-17
.allstate,http://nic.allstate,Allstate Fire and Casualty Insurance Company,allstategtld@brandsight.com,,,,TRUE,2025-07-17
.ally,http://www.ally.com,Ally Financial Inc.,allygtld@gcd.com,,,,TRUE,2025-07-17
.alstom,http://www.alstom.com,ALSTOM,abuse-dotalstom@nameshield.net,,,,TRUE,2025-07-17
xn--cckwcxetd,http://www.nic.xn--cckwcxetd,Amazon Registry Services Inc.,registry-abuse@amazon.com,,,,TRUE,2025-07-17
xn--jlq480n2rg,http://www.nic.xn--jlq480n2rg,Amazon Registry Services Inc.,registry-abuse@amazon.com,,,,TRUE,2025-07-17
.zero,http://www.nic.zero,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
xn--fct429k,http://www.nic.xn--fct429k/,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
xn--gckr3f0f,http://www.nic.xn--gckr3f0f,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.audible,http://www.nic.audible,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.coupon,http://www.nic.coupon,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.deal,http://www.nic.deal,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.fire,http://www.nic.fire,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.free,http://www.nic.free,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.hot,http://www.nic.hot,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.imdb,http://www.nic.imdb,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.kindle,http://www.nic.kindle,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.now,http://www.nic.now,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.pay,http://www.nic.pay,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.prime,http://www.nic.prime,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.save,http://www.nic.save,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.secure,http://www.nic.secure,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.silk,http://www.nic.silk,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.talk,http://www.nic.talk/,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.wow,http://www.nic.wow,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
xn--1ck2e1b,http://www.nic.xn--1ck2e1b,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
xn--bck1b9a5dre4c,http://www.nic.xn--bck1b9a5dre4c,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
xn--cck2b3b,http://www.nic.xn--cck2b3b,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
xn--gk3at1e,http://www.nic.xn--gk3at1e,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
xn--jvr189m,http://www.nic.xn--jvr189m,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
xn--rovu88b,http://www.nic.xn--rovu88b,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
.you,http://www.nic.you/,"Amazon Registry Services, Inc.",registry-abuse@amazon.com,,,,TRUE,2025-07-17
